Title,Description,Skill: Active Learning,Skill: Active Listening,Skill: Complex Problem Solving,Skill: Coordination,Skill: Critical Thinking,Skill: Equipment Maintenance,Skill: Equipment Selection,Skill: Installation,Skill: Instructing,Skill: Judgment and Decision Making,Skill: Learning Strategies,Skill: Management of Financial Resources,Skill: Management of Material Resources,Skill: Management of Personnel Resources,Skill: Mathematics,Skill: Monitoring,Skill: Negotiation,Skill: Operation and Control,Skill: Operations Analysis,Skill: Operations Monitoring,Skill: Persuasion,Skill: Programming,Skill: Quality Control Analysis,Skill: Reading Comprehension,Skill: Repairing,Skill: Science,Skill: Service Orientation,Skill: Social Perceptiveness,Skill: Speaking,Skill: Systems Analysis,Skill: Systems Evaluation,Skill: Technology Design,Skill: Time Management,Skill: Troubleshooting,Skill: Writing,Knowledge: Administration and Management,Knowledge: Administrative,Knowledge: Biology,Knowledge: Building and Construction,Knowledge: Chemistry,Knowledge: Communications and Media,Knowledge: Computers and Electronics,Knowledge: Customer and Personal Service,Knowledge: Design,Knowledge: Economics and Accounting,Knowledge: Education and Training,Knowledge: Engineering and Technology,Knowledge: English Language,Knowledge: Fine Arts,Knowledge: Food Production,Knowledge: Foreign Language,Knowledge: Geography,Knowledge: History and Archeology,Knowledge: Law and Government,Knowledge: Mathematics,Knowledge: Mechanical,Knowledge: Medicine and Dentistry,Knowledge: Personnel and Human Resources,Knowledge: Philosophy and Theology,Knowledge: Physics,Knowledge: Production and Processing,Knowledge: Psychology,Knowledge: Public Safety and Security,Knowledge: Sales and Marketing,Knowledge: Sociology and Anthropology,Knowledge: Telecommunications,Knowledge: Therapy and Counseling,Knowledge: Transportation,Ability: Arm-Hand Steadiness,Ability: Auditory Attention,Ability: Category Flexibility,Ability: Control Precision,Ability: Deductive Reasoning,Ability: Depth Perception,Ability: Dynamic Flexibility,Ability: Dynamic Strength,Ability: Explosive Strength,Ability: Extent Flexibility,Ability: Far Vision,Ability: Finger Dexterity,Ability: Flexibility of Closure,Ability: Fluency of Ideas,Ability: Glare Sensitivity,Ability: Gross Body Coordination,Ability: Gross Body Equilibrium,Ability: Hearing Sensitivity,Ability: Inductive Reasoning,Ability: Information Ordering,Ability: Manual Dexterity,Ability: Mathematical Reasoning,Ability: Memorization,Ability: Multilimb Coordination,Ability: Near Vision,Ability: Night Vision,Ability: Number Facility,Ability: Oral Comprehension,Ability: Oral Expression,Ability: Originality,Ability: Perceptual Speed,Ability: Peripheral Vision,Ability: Problem Sensitivity,Ability: Rate Control,Ability: Reaction Time,Ability: Response Orientation,Ability: Selective Attention,Ability: Sound Localization,Ability: Spatial Orientation,Ability: Speech Clarity,Ability: Speech Recognition,Ability: Speed of Closure,Ability: Speed of Limb Movement,Ability: Stamina,Ability: Static Strength,Ability: Time Sharing,Ability: Trunk Strength,Ability: Visual Color Discrimination,Ability: Visualization,Ability: Wrist-Finger Speed,Ability: Written Comprehension,Ability: Written Expression,Skill Profile,Knowledge Profile,Ability Profile
Treasurers and Controllers,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",3.62,3.88,4.12,3.38,4.12,1.0,1.0,1.0,2.88,4.12,3.0,4.0,2.75,3.12,3.75,3.88,3.12,1.12,2.62,1.88,3.0,1.62,1.88,4.12,1.0,1.25,2.75,3.12,4.0,3.25,3.62,1.62,3.38,1.0,3.62,4.04,2.48,1.0,1.04,1.0,2.0,2.8,2.84,1.24,4.6,2.56,1.44,4.2,1.04,1.08,1.4,1.44,1.2,2.84,3.92,1.08,1.12,3.12,1.4,1.04,1.76,1.92,1.8,1.96,1.58,1.44,1.2,1.28,1.0,1.75,3.5,1.0,4.0,1.62,1.0,1.25,1.0,1.0,2.38,2.12,3.0,3.25,1.0,1.0,1.0,1.75,4.12,3.88,1.12,3.88,2.75,1.0,4.0,1.0,3.75,4.0,4.0,3.25,3.12,1.0,4.0,1.0,1.0,1.0,2.62,1.0,1.0,3.62,3.62,2.88,1.0,1.0,1.0,2.38,1.5,1.88,2.38,1.25,4.12,4.0,"Reading Comprehension, Critical Thinking, Complex Problem Solving, Judgment and Decision Making, Speaking, Management of Financial Resources, Active Listening, Monitoring, Mathematics, Writing","Economics and Accounting, English Language, Administration and Management, Mathematics, Personnel and Human Resources, Customer and Personal Service, Law and Government, Computers and Electronics, Education and Training, Administrative","Written Comprehension, Inductive Reasoning, Oral Comprehension, Oral Expression, Written Expression, Problem Sensitivity, Deductive Reasoning, Near Vision, Information Ordering, Mathematical Reasoning"
Investment Fund Managers,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",3.75,4.0,3.75,3.12,4.0,1.0,1.0,1.0,3.0,3.88,2.88,2.75,2.25,2.88,3.38,3.5,3.0,1.0,2.0,1.88,3.12,1.75,1.5,4.0,1.0,1.0,2.88,3.0,3.88,3.38,3.25,1.88,3.25,1.0,3.62,3.19,1.74,1.18,1.0,1.1,2.54,3.1,3.67,1.18,4.67,2.56,1.52,4.36,1.13,1.03,1.23,1.95,2.09,3.14,4.34,1.09,1.35,2.38,1.23,1.27,1.63,2.31,1.41,3.01,1.89,1.89,1.27,1.62,1.0,2.12,3.38,1.0,4.12,1.62,1.0,1.0,1.0,1.0,2.88,2.25,3.38,3.38,1.0,1.0,1.0,2.0,3.88,3.88,1.0,3.88,2.88,1.0,3.62,1.0,3.62,4.0,4.0,3.38,3.0,1.0,3.75,1.0,1.0,1.0,3.12,1.0,1.0,3.75,3.5,2.88,1.0,1.0,1.0,2.75,1.0,2.12,2.75,1.0,4.0,3.75,"Reading Comprehension, Active Listening, Critical Thinking, Speaking, Judgment and Decision Making, Active Learning, Complex Problem Solving, Writing, Monitoring, Mathematics","Economics and Accounting, English Language, Mathematics, Customer and Personal Service, Administration and Management, Law and Government, Computers and Electronics, Sales and Marketing, Education and Training, Communications and Media","Deductive Reasoning, Oral Comprehension, Written Comprehension, Oral Expression, Inductive Reasoning, Information Ordering, Mathematical Reasoning, Written Expression, Problem Sensitivity, Speech Clarity"
Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",3.62,3.88,3.62,4.0,4.0,2.0,2.12,1.0,3.12,4.0,3.75,3.38,3.25,3.88,3.38,4.0,3.25,2.75,2.88,3.12,3.12,1.62,3.12,3.88,2.12,1.62,3.0,3.5,4.0,3.75,3.38,1.62,3.88,2.25,3.38,4.07,2.94,1.47,1.92,2.07,2.31,2.96,3.57,2.61,2.51,3.41,3.21,3.28,1.0,1.33,1.7,1.82,1.14,2.45,3.4,3.27,1.39,3.38,1.57,1.96,4.41,2.75,2.9,2.12,1.91,2.16,1.72,2.49,2.38,2.75,3.25,2.25,4.0,2.12,1.0,1.75,1.38,2.0,3.0,2.5,3.0,3.5,1.25,2.0,1.38,2.0,3.88,4.0,2.25,3.12,2.88,2.0,3.25,1.25,3.12,4.0,4.0,3.12,3.12,1.38,4.0,2.12,2.25,1.75,3.0,1.5,1.75,3.75,3.62,2.88,1.75,1.88,2.0,2.88,2.38,2.75,3.12,2.0,4.0,3.5,"Speaking, Critical Thinking, Monitoring, Coordination, Judgment and Decision Making, Reading Comprehension, Active Listening, Time Management, Management of Personnel Resources, Learning Strategies","Production and Processing, Administration and Management, Customer and Personal Service, Education and Training, Mathematics, Personnel and Human Resources, English Language, Mechanical, Engineering and Technology, Computers and Electronics","Oral Comprehension, Written Comprehension, Oral Expression, Problem Sensitivity, Deductive Reasoning, Information Ordering, Inductive Reasoning, Speech Clarity, Speech Recognition, Written Expression"
Quality Control Systems Managers,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",3.62,3.88,3.75,3.75,3.75,1.88,2.0,1.0,3.25,4.0,3.12,2.75,2.75,3.25,3.12,3.88,3.0,2.88,2.75,3.25,3.25,1.88,4.0,4.0,1.75,2.25,3.0,3.25,3.88,3.62,3.75,2.12,3.5,2.75,3.88,3.72,2.96,2.87,1.79,3.89,2.22,3.32,3.77,2.47,1.95,4.07,3.52,4.06,1.0,2.24,1.41,1.56,1.13,2.87,3.59,2.26,1.93,3.2,1.5,2.79,4.12,2.33,3.47,1.63,1.76,1.57,1.96,2.1,2.38,2.25,3.12,2.25,4.0,2.12,1.0,1.25,1.0,1.38,3.25,2.25,3.5,3.25,1.0,1.25,1.12,2.38,4.0,3.5,2.25,3.12,2.88,1.88,4.0,1.0,3.12,4.0,4.0,3.0,3.25,1.0,4.12,1.62,1.62,1.5,2.88,1.12,1.25,3.75,3.25,3.12,1.0,1.5,1.38,2.75,1.88,3.0,2.75,1.88,4.0,4.0,"Reading Comprehension, Quality Control Analysis, Judgment and Decision Making, Active Listening, Writing, Speaking, Monitoring, Critical Thinking, Coordination, Complex Problem Solving","Production and Processing, Education and Training, English Language, Chemistry, Customer and Personal Service, Administration and Management, Mathematics, Engineering and Technology, Public Safety and Security, Computers and Electronics","Problem Sensitivity, Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Deductive Reasoning, Inductive Reasoning, Near Vision, Speech Clarity, Information Ordering"
Geothermal Production Managers,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,3.5,3.62,3.62,3.75,4.0,2.5,2.25,1.0,3.25,3.75,3.25,3.25,3.12,3.62,3.25,3.88,3.0,2.88,2.0,3.25,3.0,1.88,3.12,3.88,2.75,2.38,2.88,3.5,3.88,3.25,3.25,2.0,3.62,2.88,3.62,4.21,3.45,2.21,3.25,3.46,2.41,3.36,2.93,3.5,3.07,3.55,3.81,3.75,1.15,1.14,1.77,2.01,1.64,3.36,3.89,4.4,1.86,3.69,2.02,3.54,4.0,2.94,3.9,1.79,2.12,2.8,2.27,2.63,2.38,2.5,3.25,2.62,4.0,2.38,1.12,1.25,1.12,1.25,3.12,2.88,3.12,3.0,1.62,1.25,1.88,2.62,3.88,3.5,2.25,3.25,2.5,2.5,3.38,1.5,3.12,4.12,4.12,2.88,3.0,1.75,4.0,2.0,2.12,2.0,3.0,1.62,2.0,3.5,3.75,2.62,1.62,1.12,1.25,2.75,2.12,2.88,3.0,1.25,3.62,3.62,"Critical Thinking, Reading Comprehension, Speaking, Monitoring, Coordination, Judgment and Decision Making, Active Listening, Writing, Complex Problem Solving, Time Management","Mechanical, Administration and Management, Production and Processing, Public Safety and Security, Mathematics, Engineering and Technology, English Language, Personnel and Human Resources, Education and Training, Physics","Oral Comprehension, Oral Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Speech Recognition, Written Comprehension, Written Expression, Information Ordering, Speech Clarity"
Biofuels Production Managers,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.",3.25,3.75,3.38,3.62,3.88,1.5,1.25,1.0,3.25,3.5,3.38,3.0,2.75,3.88,3.0,3.75,3.0,3.12,2.12,3.0,3.12,2.12,2.62,3.88,1.12,3.0,3.25,3.38,3.62,3.25,3.0,1.88,3.5,2.25,3.5,4.08,3.26,2.98,2.82,3.68,1.98,3.33,3.04,3.19,3.01,3.23,3.68,3.23,1.03,2.71,1.26,2.09,1.25,2.5,3.49,4.04,1.35,3.32,1.33,3.28,4.73,2.65,3.13,2.44,1.8,1.81,1.4,2.66,2.75,2.75,3.12,2.38,3.75,2.12,1.0,1.62,1.5,1.88,3.12,2.25,3.25,3.12,1.62,1.75,1.88,2.62,3.5,3.12,2.38,3.12,2.62,2.12,3.5,1.0,2.88,4.12,4.0,3.12,3.25,1.0,3.75,2.38,2.38,1.5,3.5,1.0,1.12,3.88,3.62,2.88,1.12,2.0,2.0,3.25,2.38,3.0,2.75,2.5,4.0,3.75,"Reading Comprehension, Critical Thinking, Management of Personnel Resources, Active Listening, Monitoring, Speaking, Coordination, Writing, Judgment and Decision Making, Time Management","Production and Processing, Administration and Management, Mechanical, Engineering and Technology, Chemistry, Mathematics, Computers and Electronics, Personnel and Human Resources, Physics, Administrative","Oral Comprehension, Written Comprehension, Oral Expression, Speech Clarity, Written Expression, Problem Sensitivity, Deductive Reasoning, Speech Recognition, Inductive Reasoning, Selective Attention"
Biomass Power Plant Managers,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",3.12,3.88,3.75,3.75,4.0,2.38,2.12,1.0,3.25,3.75,3.0,3.12,3.12,3.75,3.0,3.88,2.88,3.0,2.12,3.38,3.0,1.62,3.12,3.88,2.25,2.5,2.75,3.25,4.0,3.12,3.12,1.62,3.62,3.0,3.12,4.05,3.61,1.69,3.09,3.35,2.63,3.47,2.87,3.21,3.14,3.58,4.08,3.34,1.03,1.04,1.26,1.63,1.35,2.65,3.53,4.3,1.63,3.87,1.74,3.2,4.06,2.85,3.7,1.49,1.72,2.38,2.28,2.81,2.75,2.75,3.25,2.25,4.0,2.0,1.12,1.5,1.38,2.0,3.12,2.62,3.25,3.12,1.75,2.0,1.88,2.25,3.88,3.62,2.25,3.0,2.75,2.12,3.62,1.25,3.12,4.0,4.0,2.88,3.12,1.38,4.0,2.12,2.12,1.88,3.12,1.5,1.75,3.62,3.62,3.0,1.12,2.0,2.12,2.62,2.25,2.75,2.75,1.25,4.0,3.75,"Speaking, Critical Thinking, Reading Comprehension, Active Listening, Monitoring, Coordination, Complex Problem Solving, Judgment and Decision Making, Management of Personnel Resources, Time Management","Mechanical, Engineering and Technology, Production and Processing, Administration and Management, Personnel and Human Resources, Public Safety and Security, Administrative, Education and Training, Mathematics, Computers and Electronics","Oral Comprehension, Written Comprehension, Oral Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Written Expression, Information Ordering, Near Vision, Speech Recognition"
Hydroelectric Production Managers,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,3.62,4.12,3.62,3.5,3.75,2.75,2.12,1.25,3.38,3.88,3.62,3.0,3.0,3.75,3.25,3.88,3.25,3.25,2.12,3.38,3.38,2.12,3.25,3.88,2.38,3.25,3.38,3.25,4.12,3.38,3.38,1.88,3.75,2.75,3.5,3.92,3.2,1.72,2.98,2.5,2.39,3.6,2.73,3.2,2.76,3.52,3.62,3.82,1.03,1.03,1.15,2.62,1.57,3.27,3.41,4.07,1.8,3.58,1.49,3.13,3.11,3.02,4.06,1.63,2.16,2.71,1.86,1.79,2.5,2.88,3.25,2.5,3.88,2.25,1.0,1.62,1.0,2.0,2.88,2.38,3.25,3.38,2.0,1.0,1.75,2.62,3.75,3.5,2.25,3.25,2.62,2.12,3.5,1.88,3.25,4.12,4.12,3.12,3.62,1.75,3.88,2.12,2.5,2.12,3.25,1.88,2.38,3.62,3.62,2.88,1.0,1.25,1.0,3.12,2.25,3.12,3.25,2.5,4.12,3.62,"Active Listening, Speaking, Reading Comprehension, Monitoring, Judgment and Decision Making, Critical Thinking, Time Management, Management of Personnel Resources, Active Learning, Learning Strategies","Mechanical, Public Safety and Security, Administration and Management, English Language, Engineering and Technology, Computers and Electronics, Personnel and Human Resources, Education and Training, Mathematics, Law and Government","Oral Comprehension, Written Comprehension, Oral Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Written Expression, Perceptual Speed, Speech Recognition, Speech Clarity"
Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",3.25,4.0,3.5,3.75,3.75,1.0,1.0,1.0,3.38,3.75,3.0,3.25,3.25,4.0,3.12,3.88,3.88,1.0,2.62,2.0,3.62,1.88,2.12,3.88,1.0,1.0,3.5,3.88,4.0,3.5,3.12,1.88,3.88,2.0,3.88,4.26,3.39,1.37,2.53,1.67,2.84,3.5,4.0,2.17,3.74,3.0,2.37,3.94,1.26,1.58,1.42,1.89,1.47,3.84,3.47,1.89,1.53,3.37,1.63,1.42,2.78,2.0,2.68,2.83,1.78,2.58,1.37,2.47,1.0,2.25,3.12,1.0,3.88,2.0,1.0,1.5,1.0,1.0,2.62,1.0,2.75,3.88,1.0,1.0,1.0,2.0,3.62,3.75,1.0,3.12,2.62,1.0,3.25,1.0,3.25,4.0,4.0,3.5,2.75,1.0,3.62,1.0,1.0,1.0,3.25,1.0,1.0,3.88,3.88,2.75,1.0,1.0,1.0,2.62,1.75,2.12,2.25,1.38,3.88,3.75,"Active Listening, Speaking, Management of Personnel Resources, Reading Comprehension, Writing, Monitoring, Social Perceptiveness, Negotiation, Time Management, Critical Thinking","Administration and Management, Customer and Personal Service, English Language, Law and Government, Economics and Accounting, Computers and Electronics, Mathematics, Administrative, Personnel and Human Resources, Education and Training","Oral Comprehension, Oral Expression, Written Comprehension, Fluency of Ideas, Deductive Reasoning, Speech Recognition, Speech Clarity, Written Expression, Information Ordering, Problem Sensitivity"
"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.",3.62,3.88,3.62,3.75,3.62,1.12,1.12,1.12,3.62,3.5,3.38,2.88,3.0,3.38,2.75,3.75,3.62,1.88,2.12,2.62,3.5,1.75,2.5,3.88,1.0,1.0,3.25,3.25,3.62,3.62,3.5,1.75,3.62,1.88,3.62,4.14,3.11,1.49,2.04,1.84,2.57,3.19,3.98,2.03,3.24,3.1,2.46,3.8,1.19,2.03,1.87,2.93,1.55,3.11,3.59,2.33,1.45,3.55,1.72,1.59,3.19,2.7,3.49,2.79,2.12,2.6,2.02,4.46,1.62,2.25,3.75,1.75,3.88,2.12,1.0,1.5,1.0,1.0,3.25,1.75,3.25,3.38,1.62,1.0,1.0,2.12,3.88,3.75,1.75,2.75,2.62,1.5,3.75,1.88,2.88,4.0,3.75,3.25,2.88,1.75,3.88,1.62,1.75,1.62,2.75,1.62,2.0,3.5,3.5,2.62,1.0,1.0,1.0,2.62,2.12,2.38,2.62,1.75,4.0,4.0,"Reading Comprehension, Active Listening, Monitoring, Coordination, Writing, Speaking, Critical Thinking, Active Learning, Negotiation, Instructing","Transportation, Administration and Management, Customer and Personal Service, English Language, Mathematics, Personnel and Human Resources, Public Safety and Security, Economics and Accounting, Production and Processing, Computers and Electronics","Oral Comprehension, Written Comprehension, Written Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Oral Expression, Information Ordering, Category Flexibility, Near Vision"
Supply Chain Managers,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.",3.75,4.0,3.88,4.0,3.88,1.0,1.0,1.0,3.12,4.0,3.0,2.88,3.75,3.25,3.0,4.0,3.75,1.0,2.5,2.25,3.62,1.62,2.0,4.0,1.0,1.12,3.12,3.75,4.0,3.75,3.88,2.12,4.0,1.62,3.88,4.33,2.24,1.24,1.67,1.33,2.43,3.14,3.76,2.19,3.81,2.8,2.57,4.05,1.1,2.19,2.29,2.71,1.24,2.9,3.48,2.19,1.14,3.67,1.24,1.43,3.75,2.52,2.81,3.05,1.43,2.33,1.67,4.48,1.0,2.12,3.75,1.12,3.88,2.0,1.0,1.0,1.0,1.0,2.88,1.88,3.0,3.12,1.0,1.0,1.0,1.88,3.88,3.88,1.0,3.12,2.62,1.0,3.62,1.0,3.0,4.0,4.0,3.25,2.88,1.0,3.88,1.0,1.0,1.0,3.12,1.0,1.0,3.75,3.62,2.62,1.0,1.0,1.0,2.62,1.62,2.5,2.62,1.25,4.0,4.0,"Reading Comprehension, Active Listening, Speaking, Monitoring, Coordination, Judgment and Decision Making, Time Management, Writing, Critical Thinking, Complex Problem Solving","Transportation, Administration and Management, English Language, Economics and Accounting, Customer and Personal Service, Production and Processing, Personnel and Human Resources, Mathematics, Computers and Electronics, Sales and Marketing","Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Information Ordering, Category Flexibility, Speech Clarity"
Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization.",3.75,4.0,3.38,3.12,3.88,1.0,1.0,1.0,3.0,3.88,3.0,3.25,1.88,3.62,3.0,3.38,3.12,1.0,2.75,1.5,3.0,1.75,1.5,4.0,1.0,1.0,3.12,3.5,4.0,3.25,3.25,1.5,3.62,1.0,4.0,4.0,3.05,1.1,1.05,1.0,2.86,2.81,3.76,1.43,3.38,2.76,1.24,4.1,1.0,1.0,1.43,1.1,1.19,3.05,3.33,1.0,1.35,4.35,1.57,1.0,1.4,1.95,1.8,1.95,2.0,1.86,1.8,1.05,1.25,1.88,3.12,1.0,3.5,1.0,1.0,1.25,1.0,1.0,2.12,1.12,2.5,3.25,1.0,1.0,1.0,1.62,3.38,3.12,1.0,3.25,2.12,1.0,3.5,1.0,3.12,4.0,4.0,3.12,2.25,1.0,3.75,1.0,1.0,1.0,2.75,1.0,1.0,3.75,3.62,2.25,1.0,1.0,1.0,2.12,1.75,1.75,2.0,1.5,4.0,4.0,"Reading Comprehension, Active Listening, Writing, Speaking, Critical Thinking, Judgment and Decision Making, Active Learning, Time Management, Management of Personnel Resources, Social Perceptiveness","Personnel and Human Resources, English Language, Administration and Management, Customer and Personal Service, Economics and Accounting, Mathematics, Administrative, Law and Government, Communications and Media, Computers and Electronics","Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Problem Sensitivity, Speech Clarity, Speech Recognition, Deductive Reasoning, Near Vision, Inductive Reasoning"
Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization.",3.75,4.12,3.88,3.88,3.75,1.0,1.0,1.0,3.38,4.0,3.25,2.88,2.38,4.12,2.62,3.62,3.88,1.25,2.25,1.75,3.62,1.75,1.62,4.0,1.0,1.62,3.38,3.88,4.12,3.62,3.75,1.75,3.62,1.0,3.88,4.58,2.96,1.23,1.18,1.21,2.83,2.7,3.88,1.35,2.58,3.96,1.39,4.21,1.21,1.29,1.67,1.48,1.71,4.08,2.96,1.17,1.54,4.92,2.12,1.08,2.33,3.26,2.62,2.38,2.78,1.79,2.65,1.46,1.5,2.0,3.38,1.25,4.0,1.75,1.0,1.38,1.0,1.0,2.75,2.0,2.75,3.5,1.12,1.0,1.0,1.75,3.88,3.38,1.38,3.0,2.88,1.0,3.75,1.0,3.0,4.25,4.25,3.38,2.62,1.0,3.88,1.0,1.0,1.0,3.12,1.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,2.62,1.62,1.75,2.38,1.75,4.12,4.0,"Active Listening, Speaking, Management of Personnel Resources, Reading Comprehension, Judgment and Decision Making, Writing, Social Perceptiveness, Coordination, Negotiation, Complex Problem Solving","Personnel and Human Resources, Administration and Management, English Language, Law and Government, Education and Training, Customer and Personal Service, Psychology, Administrative, Mathematics, Communications and Media","Oral Comprehension, Oral Expression, Written Comprehension, Written Expression, Deductive Reasoning, Speech Recognition, Speech Clarity, Problem Sensitivity, Inductive Reasoning, Near Vision"
Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.",3.75,4.0,3.62,3.88,3.75,1.0,1.0,1.0,4.0,3.62,4.25,3.62,2.88,3.5,2.88,3.88,3.0,1.0,3.0,1.75,3.62,1.5,2.0,4.0,1.0,1.5,3.62,3.88,4.0,3.12,3.25,1.75,3.5,1.0,3.88,4.15,2.96,1.0,1.07,1.0,3.3,3.21,3.86,2.39,2.14,4.93,1.43,4.36,1.29,1.0,1.29,1.18,1.11,1.86,2.21,1.11,1.11,3.96,1.39,1.04,1.96,3.26,1.5,2.32,2.22,1.82,1.86,1.11,1.5,2.12,3.62,1.25,3.88,1.5,1.0,1.38,1.0,1.0,2.88,1.75,2.75,3.88,1.0,1.0,1.0,1.75,3.75,3.75,1.62,2.62,2.88,1.0,3.75,1.0,2.5,3.88,4.0,3.75,2.75,1.0,3.75,1.0,1.0,1.0,2.75,1.0,1.0,3.88,3.88,2.88,1.0,1.12,1.0,2.62,1.75,2.12,2.62,1.5,3.88,3.88,"Learning Strategies, Reading Comprehension, Active Listening, Speaking, Instructing, Writing, Monitoring, Social Perceptiveness, Coordination, Critical Thinking","Education and Training, English Language, Administration and Management, Personnel and Human Resources, Customer and Personal Service, Communications and Media, Psychology, Computers and Electronics, Administrative, Design","Oral Expression, Oral Comprehension, Written Comprehension, Written Expression, Fluency of Ideas, Deductive Reasoning, Speech Recognition, Speech Clarity, Originality, Problem Sensitivity"
"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.",3.38,3.88,3.62,3.5,3.88,2.5,2.38,1.0,2.88,3.5,2.88,3.0,2.88,3.62,2.88,3.38,3.12,2.62,2.12,3.12,3.12,1.88,2.88,3.75,2.38,2.62,2.88,3.38,3.62,3.0,3.0,1.88,3.38,2.5,3.25,4.13,2.71,3.82,2.79,3.1,2.16,2.56,3.22,2.67,3.29,3.22,2.9,3.39,1.11,3.37,1.7,2.37,1.46,2.87,3.63,3.25,1.63,3.39,1.77,2.19,3.9,2.48,2.86,3.29,1.83,1.87,1.58,2.97,3.0,2.5,3.75,2.75,3.88,2.5,1.12,2.25,2.0,2.5,3.38,2.62,3.25,3.38,2.0,2.12,2.12,2.5,3.88,3.62,2.75,3.0,2.62,2.88,3.38,2.0,2.88,3.88,3.88,3.25,3.38,2.38,3.88,2.25,2.5,2.5,3.0,2.12,2.5,3.75,3.62,2.75,1.38,2.25,2.5,2.62,2.62,2.75,3.25,2.12,3.75,3.62,"Active Listening, Critical Thinking, Reading Comprehension, Speaking, Complex Problem Solving, Management of Personnel Resources, Coordination, Judgment and Decision Making, Active Learning, Monitoring","Administration and Management, Production and Processing, Biology, Mathematics, Personnel and Human Resources, English Language, Food Production, Economics and Accounting, Sales and Marketing, Mechanical","Oral Comprehension, Oral Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Written Comprehension, Category Flexibility, Speech Clarity, Written Expression, Information Ordering"
Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",3.62,3.88,3.75,4.0,3.75,1.0,1.0,1.0,3.0,3.75,3.0,3.25,3.12,4.0,3.25,3.88,3.62,1.88,3.0,2.88,3.0,1.5,3.12,3.75,1.0,1.88,3.0,3.38,3.88,3.12,3.12,1.62,3.88,2.0,3.25,4.35,2.75,1.6,4.89,2.15,2.4,3.21,3.7,3.58,3.3,3.05,4.21,4.0,1.1,1.1,1.75,2.0,1.4,3.0,3.6,3.45,1.45,3.2,1.3,2.6,3.1,2.65,3.6,2.8,1.7,2.35,1.45,2.95,1.25,2.88,3.38,1.75,3.88,2.12,1.0,1.38,1.12,1.5,3.38,1.75,3.25,3.12,1.62,1.75,1.75,2.0,3.88,4.12,1.12,3.12,2.75,1.88,3.75,1.12,3.12,3.88,3.88,3.0,3.12,1.12,4.0,1.0,1.75,1.0,3.12,1.0,2.0,3.62,3.62,3.12,1.0,1.75,1.75,3.0,2.12,2.88,3.88,1.38,3.88,3.75,"Coordination, Management of Personnel Resources, Active Listening, Speaking, Monitoring, Time Management, Reading Comprehension, Critical Thinking, Complex Problem Solving, Judgment and Decision Making","Building and Construction, Administration and Management, Engineering and Technology, English Language, Customer and Personal Service, Mathematics, Public Safety and Security, Design, Mechanical, Economics and Accounting","Information Ordering, Problem Sensitivity, Oral Comprehension, Written Comprehension, Oral Expression, Deductive Reasoning, Inductive Reasoning, Visualization, Written Expression, Near Vision"
