Title,Description,skill_profile,corpus
Home Appliance Repairers,"Repair, adjust, or install all types of electric or gas household appliances, such as refrigerators, washers, dryers, and ovens.","Repairing, Critical Thinking, Equipment Maintenance, Troubleshooting, Speaking, Operations Monitoring, Quality Control Analysis, Active Listening, Reading Comprehension, Complex Problem Solving","home appliance repairers is a job whose key responsibility is to repair, adjust, or install all types of electric or gas household appliances, such as refrigerators, washers, dryers, and ovens.. the required skills are repairing, critical thinking, equipment maintenance, troubleshooting, speaking, operations monitoring, quality control analysis, active listening, reading comprehension, complex problem solving"
Industrial Machinery Mechanics,"Repair, install, adjust, or maintain industrial production and processing machinery or refinery and pipeline distribution systems. May also install, dismantle, or move machinery and heavy equipment according to plans.","Operations Monitoring, Operation and Control, Equipment Maintenance, Troubleshooting, Repairing, Quality Control Analysis, Critical Thinking, Active Listening, Active Learning, Monitoring","industrial machinery mechanics is a job whose key responsibility is to repair, install, adjust, or maintain industrial production and processing machinery or refinery and pipeline distribution systems. may also install, dismantle, or move machinery and heavy equipment according to plans.. the required skills are operations monitoring, operation and control, equipment maintenance, troubleshooting, repairing, quality control analysis, critical thinking, active listening, active learning, monitoring"
"Maintenance Workers, Machinery","Lubricate machinery, change parts, or perform other routine machinery maintenance.","Operations Monitoring, Equipment Maintenance, Troubleshooting, Repairing, Operation and Control, Quality Control Analysis, Reading Comprehension, Active Listening, Critical Thinking, Coordination","maintenance workers, machinery is a job whose key responsibility is to lubricate machinery, change parts, or perform other routine machinery maintenance.. the required skills are operations monitoring, equipment maintenance, troubleshooting, repairing, operation and control, quality control analysis, reading comprehension, active listening, critical thinking, coordination"
Millwrights,"Install, dismantle, or move machinery and heavy equipment according to layout plans, blueprints, or other drawings.","Installation, Equipment Maintenance, Troubleshooting, Critical Thinking, Operations Monitoring, Repairing, Operation and Control, Quality Control Analysis, Time Management, Active Listening","millwrights is a job whose key responsibility is to install, dismantle, or move machinery and heavy equipment according to layout plans, blueprints, or other drawings.. the required skills are installation, equipment maintenance, troubleshooting, critical thinking, operations monitoring, repairing, operation and control, quality control analysis, time management, active listening"
"Refractory Materials Repairers, Except Brickmasons","Build or repair equipment such as furnaces, kilns, cupolas, boilers, converters, ladles, soaking pits, and ovens, using refractory materials.","Operations Monitoring, Repairing, Active Listening, Operation and Control, Equipment Maintenance, Reading Comprehension, Critical Thinking, Coordination, Troubleshooting, Time Management","refractory materials repairers, except brickmasons is a job whose key responsibility is to build or repair equipment such as furnaces, kilns, cupolas, boilers, converters, ladles, soaking pits, and ovens, using refractory materials.. the required skills are operations monitoring, repairing, active listening, operation and control, equipment maintenance, reading comprehension, critical thinking, coordination, troubleshooting, time management"
Electrical Power-Line Installers and Repairers,Install or repair cables or wires used in electrical power or distribution systems. May erect poles and light or heavy duty transmission towers.,"Active Listening, Troubleshooting, Monitoring, Operations Monitoring, Operation and Control, Critical Thinking, Coordination, Complex Problem Solving, Repairing, Quality Control Analysis","electrical power-line installers and repairers is a job whose key responsibility is to install or repair cables or wires used in electrical power or distribution systems. may erect poles and light or heavy duty transmission towers.. the required skills are active listening, troubleshooting, monitoring, operations monitoring, operation and control, critical thinking, coordination, complex problem solving, repairing, quality control analysis"
Telecommunications Line Installers and Repairers,"Install and repair telecommunications cable, including fiber optics.","Speaking, Critical Thinking, Complex Problem Solving, Operations Monitoring, Active Listening, Monitoring, Coordination, Operation and Control, Equipment Maintenance, Troubleshooting","telecommunications line installers and repairers is a job whose key responsibility is to install and repair telecommunications cable, including fiber optics.. the required skills are speaking, critical thinking, complex problem solving, operations monitoring, active listening, monitoring, coordination, operation and control, equipment maintenance, troubleshooting"
Camera and Photographic Equipment Repairers,"Repair and adjust cameras and photographic equipment, including commercial video and motion picture camera equipment.","Troubleshooting, Repairing, Critical Thinking, Equipment Maintenance, Quality Control Analysis, Reading Comprehension, Active Listening, Complex Problem Solving, Judgment and Decision Making, Time Management","camera and photographic equipment repairers is a job whose key responsibility is to repair and adjust cameras and photographic equipment, including commercial video and motion picture camera equipment.. the required skills are troubleshooting, repairing, critical thinking, equipment maintenance, quality control analysis, reading comprehension, active listening, complex problem solving, judgment and decision making, time management"
Medical Equipment Repairers,"Test, adjust, or repair biomedical or electromedical equipment.","Repairing, Equipment Maintenance, Troubleshooting, Operations Monitoring, Quality Control Analysis, Reading Comprehension, Critical Thinking, Active Listening, Active Learning, Complex Problem Solving","medical equipment repairers is a job whose key responsibility is to test, adjust, or repair biomedical or electromedical equipment.. the required skills are repairing, equipment maintenance, troubleshooting, operations monitoring, quality control analysis, reading comprehension, critical thinking, active listening, active learning, complex problem solving"
Musical Instrument Repairers and Tuners,"Repair percussion, stringed, reed, or wind instruments. May specialize in one area, such as piano tuning.","Repairing, Troubleshooting, Quality Control Analysis, Critical Thinking, Judgment and Decision Making, Time Management, Active Listening, Speaking, Service Orientation, Complex Problem Solving","musical instrument repairers and tuners is a job whose key responsibility is to repair percussion, stringed, reed, or wind instruments. may specialize in one area, such as piano tuning.. the required skills are repairing, troubleshooting, quality control analysis, critical thinking, judgment and decision making, time management, active listening, speaking, service orientation, complex problem solving"
Watch and Clock Repairers,"Repair, clean, and adjust mechanisms of timing instruments, such as watches and clocks. Includes watchmakers, watch technicians, and mechanical timepiece repairers.","Repairing, Critical Thinking, Operations Monitoring, Active Listening, Speaking, Equipment Maintenance, Troubleshooting, Quality Control Analysis, Judgment and Decision Making, Reading Comprehension","watch and clock repairers is a job whose key responsibility is to repair, clean, and adjust mechanisms of timing instruments, such as watches and clocks. includes watchmakers, watch technicians, and mechanical timepiece repairers.. the required skills are repairing, critical thinking, operations monitoring, active listening, speaking, equipment maintenance, troubleshooting, quality control analysis, judgment and decision making, reading comprehension"
"Maintenance and Repair Workers, General","Perform work involving the skills of two or more maintenance or craft occupations to keep machines, mechanical equipment, or the structure of a building in repair. Duties may involve pipe fitting; HVAC maintenance; insulating; welding; machining; carpentry; repairing electrical or mechanical equipment; installing, aligning, and balancing new equipment; and repairing buildings, floors, or stairs.","Equipment Maintenance, Repairing, Troubleshooting, Critical Thinking, Active Learning, Monitoring, Complex Problem Solving, Operations Monitoring, Operation and Control, Quality Control Analysis","maintenance and repair workers, general is a job whose key responsibility is to perform work involving the skills of two or more maintenance or craft occupations to keep machines, mechanical equipment, or the structure of a building in repair. duties may involve pipe fitting; hvac maintenance; insulating; welding; machining; carpentry; repairing electrical or mechanical equipment; installing, aligning, and balancing new equipment; and repairing buildings, floors, or stairs.. the required skills are equipment maintenance, repairing, troubleshooting, critical thinking, active learning, monitoring, complex problem solving, operations monitoring, operation and control, quality control analysis"
Wind Turbine Service Technicians,"Inspect, diagnose, adjust, or repair wind turbines. Perform maintenance on wind turbine equipment including resolving electrical, mechanical, and hydraulic malfunctions.","Operations Monitoring, Equipment Maintenance, Troubleshooting, Repairing, Critical Thinking, Reading Comprehension, Monitoring, Complex Problem Solving, Quality Control Analysis, Active Listening","wind turbine service technicians is a job whose key responsibility is to inspect, diagnose, adjust, or repair wind turbines. perform maintenance on wind turbine equipment including resolving electrical, mechanical, and hydraulic malfunctions.. the required skills are operations monitoring, equipment maintenance, troubleshooting, repairing, critical thinking, reading comprehension, monitoring, complex problem solving, quality control analysis, active listening"
"Coin, Vending, and Amusement Machine Servicers and Repairers","Install, service, adjust, or repair coin, vending, or amusement machines including video games, juke boxes, pinball machines, or slot machines.","Repairing, Equipment Maintenance, Troubleshooting, Operations Monitoring, Operation and Control, Quality Control Analysis, Reading Comprehension, Active Listening, Speaking, Critical Thinking","coin, vending, and amusement machine servicers and repairers is a job whose key responsibility is to install, service, adjust, or repair coin, vending, or amusement machines including video games, juke boxes, pinball machines, or slot machines.. the required skills are repairing, equipment maintenance, troubleshooting, operations monitoring, operation and control, quality control analysis, reading comprehension, active listening, speaking, critical thinking"
Commercial Divers,"Work below surface of water, using surface-supplied air or scuba equipment to inspect, repair, remove, or install equipment and structures. May use a variety of power and hand tools, such as drills, sledgehammers, torches, and welding equipment. May conduct tests or experiments, rig explosives, or photograph structures or marine life.","Critical Thinking, Active Listening, Operations Monitoring, Speaking, Quality Control Analysis, Operation and Control, Time Management, Reading Comprehension, Coordination, Complex Problem Solving","commercial divers is a job whose key responsibility is to work below surface of water, using surface-supplied air or scuba equipment to inspect, repair, remove, or install equipment and structures. may use a variety of power and hand tools, such as drills, sledgehammers, torches, and welding equipment. may conduct tests or experiments, rig explosives, or photograph structures or marine life.. the required skills are critical thinking, active listening, operations monitoring, speaking, quality control analysis, operation and control, time management, reading comprehension, coordination, complex problem solving"
Locksmiths and Safe Repairers,"Repair and open locks, make keys, change locks and safe combinations, and install and repair safes.","Repairing, Time Management, Active Listening, Speaking, Critical Thinking, Operations Monitoring, Operation and Control, Equipment Maintenance, Quality Control Analysis, Reading Comprehension","locksmiths and safe repairers is a job whose key responsibility is to repair and open locks, make keys, change locks and safe combinations, and install and repair safes.. the required skills are repairing, time management, active listening, speaking, critical thinking, operations monitoring, operation and control, equipment maintenance, quality control analysis, reading comprehension"
Manufactured Building and Mobile Home Installers,Move or install mobile homes or prefabricated buildings.,"Critical Thinking, Operation and Control, Quality Control Analysis, Operations Monitoring, Monitoring, Coordination, Judgment and Decision Making, Active Listening, Speaking, Active Learning","manufactured building and mobile home installers is a job whose key responsibility is to move or install mobile homes or prefabricated buildings.. the required skills are critical thinking, operation and control, quality control analysis, operations monitoring, monitoring, coordination, judgment and decision making, active listening, speaking, active learning"
Riggers,"Set up or repair rigging for construction projects, manufacturing plants, logging yards, ships and shipyards, or for the entertainment industry.","Operation and Control, Reading Comprehension, Active Listening, Critical Thinking, Monitoring, Coordination, Operations Monitoring, Speaking, Complex Problem Solving, Judgment and Decision Making","riggers is a job whose key responsibility is to set up or repair rigging for construction projects, manufacturing plants, logging yards, ships and shipyards, or for the entertainment industry.. the required skills are operation and control, reading comprehension, active listening, critical thinking, monitoring, coordination, operations monitoring, speaking, complex problem solving, judgment and decision making"
Signal and Track Switch Repairers,"Install, inspect, test, maintain, or repair electric gate crossings, signals, signal equipment, track switches, section lines, or intercommunications systems within a railroad system.","Troubleshooting, Equipment Maintenance, Repairing, Quality Control Analysis, Critical Thinking, Operations Monitoring, Equipment Selection, Complex Problem Solving, Operation and Control, Active Listening","signal and track switch repairers is a job whose key responsibility is to install, inspect, test, maintain, or repair electric gate crossings, signals, signal equipment, track switches, section lines, or intercommunications systems within a railroad system.. the required skills are troubleshooting, equipment maintenance, repairing, quality control analysis, critical thinking, operations monitoring, equipment selection, complex problem solving, operation and control, active listening"
"Helpers--Installation, Maintenance, and Repair Workers","Help installation, maintenance, and repair workers in maintenance, parts replacement, and repair of vehicles, industrial machinery, and electrical and electronic equipment. Perform duties such as furnishing tools, materials, and supplies to other workers; cleaning work area, machines, and tools; and holding materials or tools for other workers.","Active Listening, Critical Thinking, Monitoring, Operations Monitoring, Operation and Control, Equipment Maintenance, Troubleshooting, Repairing, Speaking, Coordination","helpers--installation, maintenance, and repair workers is a job whose key responsibility is to help installation, maintenance, and repair workers in maintenance, parts replacement, and repair of vehicles, industrial machinery, and electrical and electronic equipment. perform duties such as furnishing tools, materials, and supplies to other workers; cleaning work area, machines, and tools; and holding materials or tools for other workers.. the required skills are active listening, critical thinking, monitoring, operations monitoring, operation and control, equipment maintenance, troubleshooting, repairing, speaking, coordination"
Geothermal Technicians,"Perform technical activities at power plants or individual installations necessary for the generation of power from geothermal energy sources. Monitor and control operating activities at geothermal power generation facilities and perform maintenance and repairs as necessary. Install, test, and maintain residential and commercial geothermal heat pumps.","Operations Monitoring, Monitoring, Troubleshooting, Operation and Control, Reading Comprehension, Critical Thinking, Quality Control Analysis, Active Learning, Complex Problem Solving, Equipment Maintenance","geothermal technicians is a job whose key responsibility is to perform technical activities at power plants or individual installations necessary for the generation of power from geothermal energy sources. monitor and control operating activities at geothermal power generation facilities and perform maintenance and repairs as necessary. install, test, and maintain residential and commercial geothermal heat pumps.. the required skills are operations monitoring, monitoring, troubleshooting, operation and control, reading comprehension, critical thinking, quality control analysis, active learning, complex problem solving, equipment maintenance"
First-Line Supervisors of Production and Operating Workers,"Directly supervise and coordinate the activities of production and operating workers, such as inspectors, precision workers, machine setters and operators, assemblers, fabricators, and plant and system operators. Excludes team or work leaders.","Active Listening, Speaking, Time Management, Management of Personnel Resources, Critical Thinking, Monitoring, Social Perceptiveness, Coordination, Judgment and Decision Making, Reading Comprehension","first-line supervisors of production and operating workers is a job whose key responsibility is to directly supervise and coordinate the activities of production and operating workers, such as inspectors, precision workers, machine setters and operators, assemblers, fabricators, and plant and system operators. excludes team or work leaders.. the required skills are active listening, speaking, time management, management of personnel resources, critical thinking, monitoring, social perceptiveness, coordination, judgment and decision making, reading comprehension"
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","Assemble, fit, fasten, and install parts of airplanes, space vehicles, or missiles, such as tails, wings, fuselage, bulkheads, stabilizers, landing gear, rigging and control equipment, or heating and ventilating systems.","Quality Control Analysis, Active Listening, Critical Thinking, Monitoring, Reading Comprehension, Speaking, Complex Problem Solving, Equipment Maintenance, Judgment and Decision Making, Time Management","aircraft structure, surfaces, rigging, and systems assemblers is a job whose key responsibility is to assemble, fit, fasten, and install parts of airplanes, space vehicles, or missiles, such as tails, wings, fuselage, bulkheads, stabilizers, landing gear, rigging and control equipment, or heating and ventilating systems.. the required skills are quality control analysis, active listening, critical thinking, monitoring, reading comprehension, speaking, complex problem solving, equipment maintenance, judgment and decision making, time management"
"Coil Winders, Tapers, and Finishers","Wind wire coils used in electrical components, such as resistors and transformers, and in electrical equipment and instruments, such as field cores, bobbins, armature cores, electrical motors, generators, and control equipment.","Monitoring, Operations Monitoring, Active Listening, Operation and Control, Reading Comprehension, Speaking, Critical Thinking, Coordination, Judgment and Decision Making, Social Perceptiveness","coil winders, tapers, and finishers is a job whose key responsibility is to wind wire coils used in electrical components, such as resistors and transformers, and in electrical equipment and instruments, such as field cores, bobbins, armature cores, electrical motors, generators, and control equipment.. the required skills are monitoring, operations monitoring, active listening, operation and control, reading comprehension, speaking, critical thinking, coordination, judgment and decision making, social perceptiveness"
Electrical and Electronic Equipment Assemblers,"Assemble or modify electrical or electronic equipment, such as computers, test equipment telemetering systems, electric motors, and batteries.","Reading Comprehension, Monitoring, Operations Monitoring, Judgment and Decision Making, Active Listening, Critical Thinking, Coordination, Writing, Speaking, Operation and Control","electrical and electronic equipment assemblers is a job whose key responsibility is to assemble or modify electrical or electronic equipment, such as computers, test equipment telemetering systems, electric motors, and batteries.. the required skills are reading comprehension, monitoring, operations monitoring, judgment and decision making, active listening, critical thinking, coordination, writing, speaking, operation and control"
Electromechanical Equipment Assemblers,"Assemble or modify electromechanical equipment or devices, such as servomechanisms, gyros, dynamometers, magnetic drums, tape drives, brakes, control linkage, actuators, and appliances.","Operations Monitoring, Quality Control Analysis, Reading Comprehension, Speaking, Critical Thinking, Troubleshooting, Active Listening, Monitoring, Judgment and Decision Making, Time Management","electromechanical equipment assemblers is a job whose key responsibility is to assemble or modify electromechanical equipment or devices, such as servomechanisms, gyros, dynamometers, magnetic drums, tape drives, brakes, control linkage, actuators, and appliances.. the required skills are operations monitoring, quality control analysis, reading comprehension, speaking, critical thinking, troubleshooting, active listening, monitoring, judgment and decision making, time management"
Engine and Other Machine Assemblers,"Construct, assemble, or rebuild machines, such as engines, turbines, and similar equipment used in such industries as construction, extraction, textiles, and paper manufacturing.","Operations Monitoring, Reading Comprehension, Quality Control Analysis, Active Listening, Speaking, Critical Thinking, Monitoring, Social Perceptiveness, Complex Problem Solving, Operation and Control","engine and other machine assemblers is a job whose key responsibility is to construct, assemble, or rebuild machines, such as engines, turbines, and similar equipment used in such industries as construction, extraction, textiles, and paper manufacturing.. the required skills are operations monitoring, reading comprehension, quality control analysis, active listening, speaking, critical thinking, monitoring, social perceptiveness, complex problem solving, operation and control"
Structural Metal Fabricators and Fitters,"Fabricate, position, align, and fit parts of structural metal products.","Reading Comprehension, Active Listening, Speaking, Critical Thinking, Monitoring, Operations Monitoring, Social Perceptiveness, Time Management, Coordination, Operation and Control","structural metal fabricators and fitters is a job whose key responsibility is to fabricate, position, align, and fit parts of structural metal products.. the required skills are reading comprehension, active listening, speaking, critical thinking, monitoring, operations monitoring, social perceptiveness, time management, coordination, operation and control"
Fiberglass Laminators and Fabricators,"Laminate layers of fiberglass on molds to form boat decks and hulls, bodies for golf carts, automobiles, or other products.","Monitoring, Operations Monitoring, Reading Comprehension, Active Listening, Speaking, Complex Problem Solving, Writing, Critical Thinking, Active Learning, Coordination","fiberglass laminators and fabricators is a job whose key responsibility is to laminate layers of fiberglass on molds to form boat decks and hulls, bodies for golf carts, automobiles, or other products.. the required skills are monitoring, operations monitoring, reading comprehension, active listening, speaking, complex problem solving, writing, critical thinking, active learning, coordination"
Timing Device Assemblers and Adjusters,"Perform precision assembling or adjusting, within narrow tolerances, of timing devices such as digital clocks or timing devices with electrical or electronic components.","Repairing, Troubleshooting, Quality Control Analysis, Operations Monitoring, Active Listening, Critical Thinking, Monitoring, Reading Comprehension, Speaking, Social Perceptiveness","timing device assemblers and adjusters is a job whose key responsibility is to perform precision assembling or adjusting, within narrow tolerances, of timing devices such as digital clocks or timing devices with electrical or electronic components.. the required skills are repairing, troubleshooting, quality control analysis, operations monitoring, active listening, critical thinking, monitoring, reading comprehension, speaking, social perceptiveness"
Team Assemblers,"Work as part of a team having responsibility for assembling an entire product or component of a product. Team assemblers can perform all tasks conducted by the team in the assembly process and rotate through all or most of them, rather than being assigned to a specific task on a permanent basis. May participate in making management decisions affecting the work. Includes team leaders who work as part of the team.","Active Listening, Monitoring, Quality Control Analysis, Reading Comprehension, Speaking, Critical Thinking, Social Perceptiveness, Coordination, Instructing, Operations Monitoring","team assemblers is a job whose key responsibility is to work as part of a team having responsibility for assembling an entire product or component of a product. team assemblers can perform all tasks conducted by the team in the assembly process and rotate through all or most of them, rather than being assigned to a specific task on a permanent basis. may participate in making management decisions affecting the work. includes team leaders who work as part of the team.. the required skills are active listening, monitoring, quality control analysis, reading comprehension, speaking, critical thinking, social perceptiveness, coordination, instructing, operations monitoring"
Bakers,"Mix and bake ingredients to produce breads, rolls, cookies, cakes, pies, pastries, or other baked goods.","Monitoring, Active Listening, Speaking, Critical Thinking, Active Learning, Coordination, Judgment and Decision Making, Time Management, Reading Comprehension, Operations Monitoring","bakers is a job whose key responsibility is to mix and bake ingredients to produce breads, rolls, cookies, cakes, pies, pastries, or other baked goods.. the required skills are monitoring, active listening, speaking, critical thinking, active learning, coordination, judgment and decision making, time management, reading comprehension, operations monitoring"
Butchers and Meat Cutters,"Cut, trim, or prepare consumer-sized portions of meat for use or sale in retail establishments.","Active Listening, Reading Comprehension, Speaking, Critical Thinking, Monitoring, Social Perceptiveness, Service Orientation, Time Management, Coordination, Complex Problem Solving","butchers and meat cutters is a job whose key responsibility is to cut, trim, or prepare consumer-sized portions of meat for use or sale in retail establishments.. the required skills are active listening, reading comprehension, speaking, critical thinking, monitoring, social perceptiveness, service orientation, time management, coordination, complex problem solving"
"Meat, Poultry, and Fish Cutters and Trimmers","Use hands or hand tools to perform routine cutting and trimming of meat, poultry, and seafood.","Active Listening, Speaking, Critical Thinking, Monitoring, Judgment and Decision Making, Social Perceptiveness, Coordination, Time Management, Service Orientation, Instructing","meat, poultry, and fish cutters and trimmers is a job whose key responsibility is to use hands or hand tools to perform routine cutting and trimming of meat, poultry, and seafood.. the required skills are active listening, speaking, critical thinking, monitoring, judgment and decision making, social perceptiveness, coordination, time management, service orientation, instructing"
Slaughterers and Meat Packers,"Perform nonroutine or precision functions involving the preparation of large portions of meat. Work may include specialized slaughtering tasks, cutting standard or premium cuts of meat for marketing, making sausage, or wrapping meats. Work typically occurs in slaughtering, meat packing, or wholesale establishments.","Speaking, Active Listening, Critical Thinking, Social Perceptiveness, Monitoring, Operations Monitoring, Operation and Control, Troubleshooting, Quality Control Analysis, Active Learning","slaughterers and meat packers is a job whose key responsibility is to perform nonroutine or precision functions involving the preparation of large portions of meat. work may include specialized slaughtering tasks, cutting standard or premium cuts of meat for marketing, making sausage, or wrapping meats. work typically occurs in slaughtering, meat packing, or wholesale establishments.. the required skills are speaking, active listening, critical thinking, social perceptiveness, monitoring, operations monitoring, operation and control, troubleshooting, quality control analysis, active learning"
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","Operate or tend food or tobacco roasting, baking, or drying equipment, including hearth ovens, kiln driers, roasters, char kilns, and vacuum drying equipment.","Operations Monitoring, Monitoring, Reading Comprehension, Active Listening, Critical Thinking, Operation and Control, Quality Control Analysis, Speaking, Social Perceptiveness, Coordination","food and tobacco roasting, baking, and drying machine operators and tenders is a job whose key responsibility is to operate or tend food or tobacco roasting, baking, or drying equipment, including hearth ovens, kiln driers, roasters, char kilns, and vacuum drying equipment.. the required skills are operations monitoring, monitoring, reading comprehension, active listening, critical thinking, operation and control, quality control analysis, speaking, social perceptiveness, coordination"
Food Batchmakers,Set up and operate equipment that mixes or blends ingredients used in the manufacturing of food products. Includes candy makers and cheese makers.,"Operations Monitoring, Reading Comprehension, Critical Thinking, Active Listening, Speaking, Coordination, Operation and Control, Writing, Monitoring, Complex Problem Solving","food batchmakers is a job whose key responsibility is to set up and operate equipment that mixes or blends ingredients used in the manufacturing of food products. includes candy makers and cheese makers.. the required skills are operations monitoring, reading comprehension, critical thinking, active listening, speaking, coordination, operation and control, writing, monitoring, complex problem solving"
Food Cooking Machine Operators and Tenders,"Operate or tend cooking equipment, such as steam cooking vats, deep fry cookers, pressure cookers, kettles, and boilers, to prepare food products.","Operations Monitoring, Reading Comprehension, Monitoring, Operation and Control, Active Listening, Critical Thinking, Coordination, Complex Problem Solving, Writing, Quality Control Analysis","food cooking machine operators and tenders is a job whose key responsibility is to operate or tend cooking equipment, such as steam cooking vats, deep fry cookers, pressure cookers, kettles, and boilers, to prepare food products.. the required skills are operations monitoring, reading comprehension, monitoring, operation and control, active listening, critical thinking, coordination, complex problem solving, writing, quality control analysis"
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend machines to extrude or draw thermoplastic or metal materials into tubes, rods, hoses, wire, bars, or structural shapes.","Operations Monitoring, Operation and Control, Critical Thinking, Monitoring, Quality Control Analysis, Judgment and Decision Making, Speaking, Coordination, Complex Problem Solving, Troubleshooting","extruding and drawing machine setters, operators, and tenders, metal and plastic is a job whose key responsibility is to set up, operate, or tend machines to extrude or draw thermoplastic or metal materials into tubes, rods, hoses, wire, bars, or structural shapes.. the required skills are operations monitoring, operation and control, critical thinking, monitoring, quality control analysis, judgment and decision making, speaking, coordination, complex problem solving, troubleshooting"
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend forging machines to taper, shape, or form metal or plastic parts.","Operations Monitoring, Reading Comprehension, Active Listening, Monitoring, Operation and Control, Time Management, Speaking, Critical Thinking, Social Perceptiveness, Troubleshooting","forging machine setters, operators, and tenders, metal and plastic is a job whose key responsibility is to set up, operate, or tend forging machines to taper, shape, or form metal or plastic parts.. the required skills are operations monitoring, reading comprehension, active listening, monitoring, operation and control, time management, speaking, critical thinking, social perceptiveness, troubleshooting"
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend machines to roll steel or plastic forming bends, beads, knurls, rolls, or plate, or to flatten, temper, or reduce gauge of material.","Operations Monitoring, Operation and Control, Quality Control Analysis, Monitoring, Speaking, Active Listening, Critical Thinking, Reading Comprehension, Active Learning, Coordination","rolling machine setters, operators, and tenders, metal and plastic is a job whose key responsibility is to set up, operate, or tend machines to roll steel or plastic forming bends, beads, knurls, rolls, or plate, or to flatten, temper, or reduce gauge of material.. the required skills are operations monitoring, operation and control, quality control analysis, monitoring, speaking, active listening, critical thinking, reading comprehension, active learning, coordination"
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend machines to saw, cut, shear, slit, punch, crimp, notch, bend, or straighten metal or plastic material.","Operations Monitoring, Operation and Control, Monitoring, Quality Control Analysis, Active Listening, Speaking, Critical Thinking, Troubleshooting, Reading Comprehension, Judgment and Decision Making","cutting, punching, and press machine setters, operators, and tenders, metal and plastic is a job whose key responsibility is to set up, operate, or tend machines to saw, cut, shear, slit, punch, crimp, notch, bend, or straighten metal or plastic material.. the required skills are operations monitoring, operation and control, monitoring, quality control analysis, active listening, speaking, critical thinking, troubleshooting, reading comprehension, judgment and decision making"
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend drilling machines to drill, bore, ream, mill, or countersink metal or plastic work pieces.","Operations Monitoring, Reading Comprehension, Monitoring, Operation and Control, Active Listening, Speaking, Critical Thinking, Complex Problem Solving, Judgment and Decision Making, Time Management","drilling and boring machine tool setters, operators, and tenders, metal and plastic is a job whose key responsibility is to set up, operate, or tend drilling machines to drill, bore, ream, mill, or countersink metal or plastic work pieces.. the required skills are operations monitoring, reading comprehension, monitoring, operation and control, active listening, speaking, critical thinking, complex problem solving, judgment and decision making, time management"
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend grinding and related tools that remove excess material or burrs from surfaces, sharpen edges or corners, or buff, hone, or polish metal or plastic work pieces.","Operations Monitoring, Operation and Control, Quality Control Analysis, Reading Comprehension, Monitoring, Speaking, Critical Thinking, Troubleshooting, Judgment and Decision Making, Active Listening","grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic is a job whose key responsibility is to set up, operate, or tend grinding and related tools that remove excess material or burrs from surfaces, sharpen edges or corners, or buff, hone, or polish metal or plastic work pieces.. the required skills are operations monitoring, operation and control, quality control analysis, reading comprehension, monitoring, speaking, critical thinking, troubleshooting, judgment and decision making, active listening"
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend lathe and turning machines to turn, bore, thread, form, or face metal or plastic materials, such as wire, rod, or bar stock.","Operations Monitoring, Operation and Control, Reading Comprehension, Active Listening, Monitoring, Equipment Maintenance, Quality Control Analysis, Judgment and Decision Making, Speaking, Time Management","lathe and turning machine tool setters, operators, and tenders, metal and plastic is a job whose key responsibility is to set up, operate, or tend lathe and turning machines to turn, bore, thread, form, or face metal or plastic materials, such as wire, rod, or bar stock.. the required skills are operations monitoring, operation and control, reading comprehension, active listening, monitoring, equipment maintenance, quality control analysis, judgment and decision making, speaking, time management"
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend milling or planing machines to mill, plane, shape, groove, or profile metal or plastic work pieces.","Operations Monitoring, Operation and Control, Critical Thinking, Monitoring, Active Listening, Reading Comprehension, Speaking, Quality Control Analysis, Coordination, Complex Problem Solving","milling and planing machine setters, operators, and tenders, metal and plastic is a job whose key responsibility is to set up, operate, or tend milling or planing machines to mill, plane, shape, groove, or profile metal or plastic work pieces.. the required skills are operations monitoring, operation and control, critical thinking, monitoring, active listening, reading comprehension, speaking, quality control analysis, coordination, complex problem solving"
